,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
358,WOOD PLANTS,Softwood,Pine,Chips (wood),43.03,5.84,36.10,50.64,6.87,42.49,0.4002,0.3112,0.0196,0.1379,0.0287,0.0941,0.0083,0.14402294773589727,0.021947545847566242
359,WOOD PLANTS,Hardwood,Bamboo,Chips (wood),51.50,5.10,42.00,52.23,5.17,42.6,0.3716,0.2611,0.0139,0.1575,0.0947,0.0845,0.0166,0.14169625656805718,0.02123133080029409
360,WOOD PLANTS,Hardwood,Olive,Chips (wood),51.25,6.29,36.46,54.52,6.7,38.79,0.3554,0.1559,0.3239,0.0122,0.0498,0.1028,0.0,0.1431461916061722,0.02083114914770268
361,WOOD PLANTS,Hardwood,Walnut,Chips (wood),47.86,5.75,34.60,54.25,6.52,39.23,0.3436,0.1508,0.3833,0.0024,0.0571,0.0628,0.0,0.14467125190234748,0.02326779290267951
362,WOOD PLANTS,Other,Forest wood,Chips + bark,48.94,5.77,42.96,50.11,5.91,43.98,0.4640,0.1875,0.0315,0.1986,0.0378,0.0206,0.0601,0.14266353762177442,0.02667717539461053
363,WOOD PLANTS,Other,Forest wood,Chips + whole tree,48.76,5.90,44.35,49.25,5.96,44.79,0.4835,0.2012,0.031,0.2128,0.0016,0.0226,0.0473,0.13861550943571077,0.026840827053129897
364,WOOD PLANTS,Hardwood,Coconut,Coir,15.94,2.25,63.50,19.51,2.75,77.73,Outsider,,,,,,,,
365,WOOD PLANTS,Hardwood,Coconut,Coir (fibre) dust,47.17,6.54,43.39,48.58,6.74,44.69,0.6100,0.2677,0.0019,0.0004,0.0003,0.1196,0.0,0.19994767434946958,0.030854910075723024
366,WOOD PLANTS,Hardwood,Coconut,Fiber,50.29,5.05,39.63,52.95,5.32,41.73,0.2908,0.1276,0.0022,0.3017,0.0464,0.0,0.2314,0.08899795182158424,0.013491978216251565
367,WOOD PLANTS,Hardwood,Palm,Fiber (mesocarp),46.92,5.89,42.66,49.15,6.17,44.68,0.4805,0.2108,0.0003,0.0918,0.0141,0.0,0.2025,0.1540680754230178,0.026371015952918023
368,WOOD PLANTS,Hardwood,Coconut,Fiber dust,50.64,5.09,39.91,52.95,5.32,41.73,0.3612,0.2825,0.0452,0.1004,0.0728,0.138,0.0,0.14028322731427012,0.01805624863408596
369,WOOD PLANTS,Hardwood,Olive,Flesh,50.18,6.30,32.09,56.66,7.11,36.23,0.3167,0.1389,0.3057,0.008,0.0464,0.1842,0.0,0.12377413030991288,0.014397882315683074
370,GRASS PLANTS,Grass,Alfalfa,Seed Straw,46.23,5.34,40.26,50.34,5.81,43.84,0.4576,0.2054,0.0643,0.165,0.0389,0.0354,0.0334,0.14569236067998495,0.026571778117737067
371,WASTE MATERIALS,Wood waste,Pressure treated,,53.07,6.15,38.00,54.59,6.33,39.09,0.2968,0.1332,0.2287,0.1498,0.0011,0.0946,0.0957,0.1029154209194817,0.01400882311270551
372,GRASS PLANTS,Grass,Canary grass,-,45.00,5.70,38.85,50.25,6.37,43.38,0.4597,0.2062,0.0628,0.1678,0.0349,0.0352,0.0332,0.14953719912889615,0.02741399268555356
373,WOOD PLANTS,Unidentified,Unidentified,Gum chips (Untreated Wood),50.99,6.07,42.01,51.47,6.13,42.4,0.4349,0.2026,0.0963,0.1124,0.087,0.0399,0.027,0.1596600542749435,0.027991069133625916
374,WOOD PLANTS,Hardwood,Almond,Hull,46.49,5.44,41.22,49.91,5.84,44.25,0.4683,0.181,0.02,0.213,0.0315,0.0142,0.0721,0.13772920204430225,0.026114669955954167
375,WOOD PLANTS,Hardwood,Peanut,Hull,46.50,5.55,40.19,50.41,6.01,43.57,0.4571,0.1966,0.0515,0.1745,0.0465,0.0296,0.0442,0.14587171534543247,0.02674592632832962
376,WOOD PLANTS,Hardwood,Peanut,Hull,45.77,5.46,39.56,50.41,6.01,43.57,0.4551,0.2141,0.0825,0.1467,0.0363,0.042,0.0232,0.14747630192593308,0.026614256525102978
377,GRASS PLANTS,Vegetables,Courgette plant (zucchini),-,33.88,3.70,27.84,51.79,5.66,42.56,0.4348,0.1931,0.079,0.104,0.1165,0.0329,0.0396,0.16567171508897638,0.028932292779048834
378,WOOD PLANTS,Hardwood,Cotton,Husk (seeds),48.48,6.12,41.48,50.46,6.37,43.17,0.4514,0.2403,0.1414,0.0833,0.0206,0.0588,0.0042,0.1540544405910717,0.026837555874570717
379,WOOD PLANTS,Hardwood,Cotton,Husk,48.48,6.12,41.48,50.46,6.37,43.17,0.4514,0.2403,0.1414,0.0833,0.0206,0.0588,0.0042,0.1540544405910717,0.026837555874570717
380,WASTE MATERIALS,Other waste,Waste Compost,,39.10,4.44,27.89,54.74,6.22,39.05,0.2807,0.1241,0.2131,0.179,0.0013,0.0873,0.1146,0.0985369392618615,0.013339407825939792
381,WOOD PLANTS,Hardwood,Almond,Hull,47.15,5.91,40.04,50.65,6.34,43.01,0.4462,0.2335,0.1376,0.0917,0.0286,0.0565,0.006,0.1520206975392185,0.02654192302216738
382,WOOD PLANTS,Hardwood,Almond,Hull,47.12,5.97,40.07,50.58,6.41,43.01,0.4013,0.2626,0.1088,0.1051,0.0006,0.0584,0.0631,0.14039113198864095,0.022655825226190834
